Repo Link,RMSE,R²,MAE,Number of FIles,Result
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,"25.7696
","0.4367
","19.9363
",25,"NIR = -14.4021*R +98.2669*G -47.4521*B +169.2875
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,"38.4085
",0.3080,30.2773,25,NIR = -42.3975*R +98.5198*G -41.0851*B +190.5698
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,28.7422,0.6379,22.6161,25,NIR = -11.0957*R +70.8957*G -46.0551*B +140.6408
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,50.8653,0.4349,35.0661,25,"NIR = -44.6904*R +144.0244*G -84.1880*B +221.1564
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,22.2370,0.3458,15.6151,25,"NIR = -42.0876*R +83.7831*G -33.3165*B +187.0672
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,48.1599,-0.1344,37.5625,25,"NIR = -33.1350*R +87.4501*G -42.6637*B +171.4227
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,28.3797,0.6926,21.4590,25,"NIR = -23.1624*R +113.9701*G -59.3173*B +147.5182
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,34.0312,0.5935,27.1633,25,NIR = -61.5120*R +211.2941*G -151.1513*B +190.8430
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,52.2907,0.4570,47.0286,25,"NIR = -23.5271*R +119.2690*G -83.3790*B +148.2152
"
https://github.com/JonasJK/thesis/tree/f45d3516b5213583c6829400058f2f434981aa8f,57.3649,-0.8974,49.2103,25,"NIR = -35.5998*R +88.0394*G -53.4691*B +208.0934
"